home,away,date,transcript,URL,,,inning
DAL,BUF,11/28/2019,"Second and goal, play action, prescott finds the target it's waiting for the touchdown! Jason Witten has another thanksgiving touchdown!",https://www.youtube.com/watch?v=hmVut-6Acp4,,,1st inning 10:40-10:34
DAL,BUF,11/28/2019,"Cowboys are similar, a lot of movement a lot of hustle they're going to send five guys a lot today. Allen is sacked back at the 20 almost twisted his way out of it.",https://www.youtube.com/watch?v=hmVut-6Acp4,,,1st inning 9:23-9:16
DAL,BUF,11/28/2019,"on his way out, zeke chips and then they take a deep shot you saw calamore the offensive coordinator in his first year, what does he send in? Over Witten, Bills are not gonna allow him to get near the central valley",https://www.youtube.com/watch?v=hmVut-6Acp4,,,2nd inning 12:38-12:30
DAL,BUF,11/28/2019,One on one outside single terry taking off collides with his own teammate and a cowboy defender,https://www.youtube.com/watch?v=hmVut-6Acp4,,,2nd inning 11:18-11:08
DAL,BUF,11/28/2019,A runner to really take off and it makes the game shorter for your offense. on the run fires it again it's beasly! back to dallas with a touchdown in his old building,https://www.youtube.com/watch?v=hmVut-6Acp4,,,2nd inning 8:10 - 8:01
DAL,BUF,11/28/2019,"Cowboy 28, little trickery! and a pass to boot. wide open, single terry with a buffalo touchdown!",https://www.youtube.com/watch?v=hmVut-6Acp4,,,2nd inning 2:00-1:52
DAL,BUF,11/28/2019,"you know so they gotta stick with him. Presscott stepping up and launching, and hitting his target! With a marker down it's gallop with the catch.",https://www.youtube.com/watch?v=hmVut-6Acp4,,,3rd inning 10:07-9:56
DAL,BUF,11/28/2019,First snap inside the 20. allen open field inside the 10 and he goes all the way for the touchdown! He's got yet another game with a touchdown pass and a touchdown run,https://www.youtube.com/watch?v=hmVut-6Acp4,,,3rd inning 3:45-3:37
DAL,BUF,11/28/2019,you got to get some yards here you can pass or throw they're obviously going to throw it here looking to the end zone pass gallop pulled it in was he in they say yes,https://www.youtube.com/watch?v=hmVut-6Acp4,,,3rd inning 0:33-0:25
DAL,BUF,11/28/2019,You just have to adapt as the season continues to go along. From the 15 to the end zone and it is caught for a touchdown by dez bryant oh van tell bryant!,https://www.youtube.com/watch?v=hmVut-6Acp4,,,4th inning 4:06-4:01
BAL,CLE,9/29/2019,dancing time throws has his man has the first down to the 45-yard line damien ratling.,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,1st inning 10:00-9:51
BAL,CLE,9/29/2019,mayfield throws wide open! to the five! to the end zone! ricky seals jones with the touchdown!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,1st inning 2:58-2:50
BAL,CLE,9/29/2019,excellent job by landry feeling that in throw by baker mayfield. double reverse! triple reverse! beckham looking to throw the ball! All the way down field incomplete at the 5 yard line!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,2nd inning 6:28-6:17
BAL,CLE,9/29/2019,"for the ravens. Jackson. Throwing over the middle! Touchdown! Miles boykin, the rookie wide out from notre dame!",https://www.youtube.com/watch?v=KXkkYwa0jh8,,,2nd inning 1:60-1:55
BAL,CLE,9/29/2019,I don't think his confidence will waver because of the last intereception. Mayfield throwing over the middle that is complete to Landry. Landry has a first and more! Landry to midfield! trying to stay on his feet and stubles forward inside the 30-yard line!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,2nd inning 1:46-1:27
BAL,CLE,9/29/2019,Jackson dodges the trouble and is on the run to the outside! To the outside gets the first down across midfield!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,3rd inning 14:02-13:51
BAL,CLE,9/29/2019,And here are the browns at the baltimore 14. This is Chubb. Chubb to the 10. breaks it to the near side! looking for the end zone and he'll get there!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,3rd inning 9:51-9:41
BAL,CLE,9/29/2019,Mayfield shovel pass! inside the 30 25 20! Jarvis Landry! Did he get to the endzone? He is gonna be marked out!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,3rd inning 1:56-1:47
BAL,CLE,9/29/2019,Nick Chubb trying ot find the endzone and he does! Touchdown Cleveland.,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,3rd inning 1:00-0:53
BAL,CLE,9/29/2019,First and 15. Chubb. Chubb with running room to the 40! On his way to the end zone!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,4th inning 9:47-9:35
BAL,CLE,9/29/2019,he's about 8 yards off and you go to the other side terence mitchell he was about 10 or 12 yards off. Jackson going deep down the middle of the field double coverage! leaping for the ball! Incomplete at the goal line. I think they're calling it an interception and a touchback. Jermain Whitehead! ,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,4th inning 6:04-5:52
BAL,CLE,9/29/2019,First and 15. Jackson completes that ball to Willie Sneed and Sneed! Up the sideline! Sneed looking for the end zone and he'll get there!,https://www.youtube.com/watch?v=KXkkYwa0jh8,,,4th inning 0:40-0:30
TEN,LAC,10/20/2019,"Williams draft pick last yera. Now it's in center, shotgun for rivers! Rivers, has the time. Safety valve is Eckler, beautiful move by eckler to pick up the first down!",https://www.youtube.com/watch?v=7rvsXjKMa0w,,,2nd inning 8:49-8:36
TEN,LAC,10/20/2019,Rivers. he'll flip it to the wide open Gordon for the touchdown! The Chargers cash in!,https://www.youtube.com/watch?v=7rvsXjKMa0w,,,2nd inning 3:44-3:38
TEN,LAC,10/20/2019,"eight play of the drive. Tannehill hooks a pass, Touchdown! he hummed it in there eto corey deavis and flags on the play!",https://www.youtube.com/watch?v=7rvsXjKMa0w,,,2nd inning 0:27-0:23
TEN,LAC,10/20/2019,"Has thrown for over 20,000 yards in his career. On third and 14th. Catch made by Smith, makes a move upfield! He's got a first down! And then some! Legs churning for Jonu Smith!",https://www.youtube.com/watch?v=7rvsXjKMa0w,,,3rd inning 13:23-13:08
TEN,LAC,10/20/2019,"Tennessee looking for the lead. Tannehill darts it, back to the end zone! Touchdown! Tanjay sharp, the titans go in front!",https://www.youtube.com/watch?v=7rvsXjKMa0w,,,4th inning 13:18-13:11
TEN,LAC,10/20/2019,Pitching. Henry with a head of steam. Henry takes it all the way to touchdown! Titans!,https://www.youtube.com/watch?v=7rvsXjKMa0w,,,4th inning 6:46-6:39
TEN,LAC,10/20/2019,We approach 5 minutes to play in the 4th. Rivers will take a deep shot! separation! Caught by Ausitn eckler for the touchdown! Quick strike! LA!,https://www.youtube.com/watch?v=7rvsXjKMa0w,,,4th inning 5:18-5:09
TEN,LAC,10/20/2019,Rivers. Underneath. Eckler the catch! Eckler. Eckler takes it in for the touchdown!,https://www.youtube.com/watch?v=7rvsXjKMa0w,,,4th inning 0:44-0:37
SEA,LA,10/3/2019,"On first down Wilson keeps, surveys, nowhere to go and back of the end zone touchdown! What a catch by Tyler lockett!",https://www.youtube.com/watch?v=kSmUmga1cuo,,,1st inning 0:59-0:49
SEA,LA,10/3/2019,"Drive starts at the 27th. play action from Wilson. Looking left, gets away from Fowler and now throws for s first down!",https://www.youtube.com/watch?v=kSmUmga1cuo,,,2nd inning 10:54-10:42
SEA,LA,10/3/2019,"This would be a great time for seattle to take advantage of those two big pass rushers not in the lineup. Wilson keeps, airs it out downfield, the rookie! touchdown dk metcalf! 40 yards!",https://www.youtube.com/watch?v=kSmUmga1cuo,,,2nd inning 8:18-8:08
SEA,LA,10/3/2019,jut a three-man rush! Goff fires it! pass is caught for the touchdown! Cooper Cup!,https://www.youtube.com/watch?v=kSmUmga1cuo,,,2nd inning 0:13-0:06
SEA,LA,10/3/2019,"He got off to a tough start, he sure ran hard on sunday also againsts Arizona. Wilson fakes it to him now, ducks through, takes off! Slides for the first down!",https://www.youtube.com/watch?v=kSmUmga1cuo,,,3rd inning 7:32-7:21
SEA,LA,10/3/2019,It's the ram's offense it's awfully good down here in this end of the field. Here's a throw to moore!  Sidesteps for the touchdown! David Moore!,https://www.youtube.com/watch?v=kSmUmga1cuo,,,3rd inning 5:52-5:45
SEA,LA,10/3/2019,"Carson. Reader couldn't bring him down, flag is down. Carson has a first down and more! Out at the 45.",https://www.youtube.com/watch?v=kSmUmga1cuo,,,3rd inning 2:20-2:09
SEA,LA,10/3/2019,"Wilson steps through, flips wide open and caught! After a juggle for the touchdown!  Carson!",https://www.youtube.com/watch?v=kSmUmga1cuo,,,4th inning 2:35-2:28
TB,NYG,9/22/2019,"Pauline plays the offensive coordinator, third down and sixth. Winston! End zone! Evans! touchdown! what a throw.",https://www.youtube.com/watch?v=zcnpuqYHKXI,,,1st inning 9:54-9:47
TB,NYG,9/22/2019,Winston on second and ten sets up the screen it's Jones and he will pick up a first down! and much more! inside the giant's 40 finally brought down at the 35-yard line a 40 yard pick up by Joel! ,https://www.youtube.com/watch?v=zcnpuqYHKXI,,,1st inning 3:34-3:17
